periodIndex,sampleEvent,arrivalEvent,requestStartWaiting,requestType,requestWaitingTime,totalInQueue,requestProcessed,totalTimeInSystem,numberOfServers,requestCancelled,nextPeriodOptimalServers
83,72000.0,66362.0,66362.0,0.6670685030589796,1.448450232772068,27.142491184714142,66343.0,3.114969393293756,32.0,31.0,32
84,72000.0,65541.0,65541.0,0.669352008666331,1.1066593548196506,20.599472086175066,65556.0,2.7756574775119924,32.0,12.0,32
85,72000.0,64135.0,64135.0,0.6650191003352304,0.7388952733109858,13.568488344897482,64145.0,2.4039733485346835,32.0,4.0,30
86,72000.0,61746.0,61746.0,0.6664561267126615,1.2089767264719853,21.21709908334143,61732.0,2.8747582587871983,31.0,16.0,30
87,72000.0,60145.0,60145.0,0.6698644941391637,0.7765393742195923,13.402477346412836,60156.0,2.446444879853758,30.0,1.0,30
88,72000.0,60863.0,60863.0,0.6703251564990224,0.9657591472580497,16.78661912820597,60861.0,2.636906953782968,30.0,7.0,30
89,72000.0,59671.0,59671.0,0.6693871394814902,0.698819053480172,12.009250724807696,59684.0,2.369039626391625,30.0,1.0,30
90,72000.0,61295.0,61295.0,0.6676890447834244,1.03756708945861,18.12465943388531,61280.0,2.7039702469556404,30.0,9.0,32
91,72000.0,64277.0,64277.0,0.6690106881155001,0.7815577595949508,14.37591984691258,64277.0,2.450414166195096,31.0,4.0,34
92,72000.0,67256.0,67256.0,0.6674200071369097,0.5728910990497288,11.0814202450339,67266.0,2.241381467738797,33.0,,32
93,72000.0,65017.0,65017.0,0.6665333681960103,0.9564910682940063,17.695848778011904,65012.0,2.622909483513658,33.0,4.0,29
94,72000.0,58988.0,58988.0,0.666169390384485,1.033052487041586,17.385078321014444,58991.0,2.6998546157593553,30.5,3.0,28
95,72000.0,54067.0,54067.0,0.6665433628645939,0.429650850295727,6.840272254794977,54073.0,2.0968565875162453,28.5,,28
96,72000.0,48146.0,48146.0,0.6660989490300336,0.09758654737200737,1.5353715781165622,48152.0,1.764859234028602,28.0,,20
97,72000.0,38095.0,38095.0,0.6674104213151332,0.4523347899356472,5.24885155532222,38093.0,2.119375130163049,24.0,,19
98,72000.0,34351.0,34351.0,0.6710721667491485,0.262234497355581,2.8620709731885534,34363.0,1.934689052081109,19.5,,19
99,72000.0,34423.0,34423.0,0.6714406065711879,0.26553630333660955,2.9052377770676583,34430.0,1.935926410414398,19.0,,19
100,72000.0,35101.0,35101.0,0.6657645081336714,0.32863054719206625,3.6054243468847043,35092.0,1.9939992127451773,19.0,,28
101,72000.0,43551.0,43551.0,0.6656793185001493,0.024795038677672795,0.3924823769833069,43546.0,1.691348708667601,23.5,,28
102,72000.0,55361.0,55361.0,0.6683405285309153,0.6163277427596666,9.917378660067557,55355.0,2.2844825170332514,28.0,1.0,32
103,72000.0,66288.0,66288.0,0.663649529326575,1.3347174744781396,25.030050687907313,66258.0,2.9977217808684626,30.0,24.0,36
104,72000.0,70779.0,70779.0,0.6666384096977918,0.5176946572787913,10.528772658556917,70798.0,2.185678969736212,34.0,2.0,36
105,72000.0,72000.0,72000.0,0.6662638888888889,0.6728634646959669,13.828180555555555,71993.0,2.339372096629006,36.0,2.0,36
106,72000.0,72000.0,72000.0,0.6667083333333333,0.6676836891358447,13.72448611111111,72001.0,2.334494859006625,36.0,,36
107,72000.0,72000.0,72000.0,0.6687083333333333,0.6997716656442883,14.36961111111111,72001.0,2.3687500389944023,36.0,,36
108,72000.0,72000.0,72000.0,0.6687777777777778,0.6968954736355307,14.31025,72003.0,2.3655687731550037,36.0,,36
