,periodIndex,totalInQueue,requestStartWaiting,arrivalEvent,requestWaitingTime,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
101,101,7.604310710400649,42447,42447,0.5358081277166814,42442,2.2045011559838965,0.0,28.0,22,35842.0,47232.0
102,102,13.036642789159949,55673,55673,0.762249480343072,55632,2.4265780429764936,0.0,33.0,28,47232.0,54848.0
103,103,12.005318300876894,64731,64731,0.602147605230301,64751,2.269891916383469,1.0,36.0,33,54848.0,61251.0
104,104,17.358525380328363,72054,72054,0.806614631814753,72051,2.4728162812756493,0.0,38.0,36,61251.0,64473.0
105,105,17.457231923589273,75879,75879,0.7673732769451294,75879,2.432412654887171,2.0,39.0,38,64473.0,65969.0
106,106,17.946327107691488,77680,77680,0.7650349181890564,77675,2.4315524761946303,2.0,40.0,39,65969.0,68686.0
107,107,22.50463431350152,80744,80744,0.9430404079650284,80728,2.6074222100965105,14.0,39.0,40,68686.0,65891.0
108,108,17.16081235289922,77595,77595,0.7384580740750953,77609,2.4067108147347325,6.0,39.0,39,65891.0,65398.0
109,109,15.116495840760546,77102,77102,0.6464212590035606,77098,2.3117968824815907,0.0,38.0,39,65398.0,64745.0
110,110,19.17842352776023,76151,76151,0.854026016185996,76154,2.5245746426334588,3.0,37.0,38,64745.0,62734.0
111,111,16.87329101335589,73834,73834,0.7657642730405164,73843,2.43153895575554,3.0,36.0,37,62734.0,61135.0
112,112,16.357589783149052,71924,71924,0.760011770588907,71935,2.426371695212731,0.0,36.0,36,61135.0,61371.0
113,113,19.17599456789664,72186,72186,0.8875264082378048,72183,2.5541918299470403,4.0,36.0,36,61371.0,61399.0
114,114,18.84803001876173,72223,72223,0.8818488404344281,72211,2.5516161750294404,4.0,38.0,36,61399.0,64807.0
115,115,19.410466471273704,76227,76227,0.8544410096282425,76222,2.52067462293744,5.0,40.0,38,64807.0,68389.0
116,116,20.67079917184265,80395,80395,0.8669159312312957,80392,2.532449443472719,1.0,39.0,40,68389.0,66075.0
117,117,18.484254479065665,77786,77786,0.8006954906730577,77790,2.47187285598257,5.0,35.0,39,66075.0,59566.0
118,118,16.678129975394413,70088,70088,0.8001204078488173,70078,2.4672582722872893,4.0,32.0,35,59566.0,53694.0
119,119,13.21851303450442,63270,63270,0.6811558271337375,63297,2.3470047718638902,1.0,26.0,32,53694.0,42903.0
120,120,9.30119376932294,50688,50688,0.5729579699546621,50703,2.241197760888701,0.0,22.0,26,42903.0,35490.0
121,121,6.887055493077908,42083,42083,0.4813422061538285,42090,2.1454368089348184,0.0,19.0,22,35490.0,31076.0
122,122,7.2040588806078,36775,36775,0.5886772214941378,36776,2.2587334845103344,0.0,20.0,19,31076.0,32739.0
123,123,7.598655898131227,38754,38754,0.5923939736033518,38745,2.261363377858606,2.0,21.0,20,32739.0,33420.0
124,124,5.756499263025228,39713,39713,0.4185015273444914,39720,2.0868143695093626,0.0,24.0,21,33420.0,39256.0
125,125,7.956502899806679,46455,46455,0.5275652781857741,46456,2.194188004186066,0.0,31.0,24,39256.0,51771.0
126,126,11.827235365465915,61090,61090,0.6335943173632305,61071,2.3008267193316017,0.0,35.0,31,51771.0,58355.0
127,127,12.92573037288856,68859,68859,0.6134602549283021,68855,2.27920486858572,0.0,38.0,35,58355.0,65579.0
128,128,22.034575158472965,77028,77028,0.9792240100833975,77003,2.6458305158005326,8.0,41.0,38,65579.0,70450.0
129,129,23.904648558923245,82773,82773,0.9848414110628884,82765,2.654210256135619,5.0,42.0,41,70450.0,72072.0
130,130,23.389334195714277,84675,84675,0.9402894914654304,84678,2.6100702496431083,2.0,43.0,42,72072.0,73135.0
131,131,21.00759376131195,86021,86021,0.8215826257656617,86050,2.4887807856016826,5.0,42.0,43,73135.0,72295.0
132,132,24.02656267920633,84954,84954,0.9644397080576116,84931,2.629960281992155,12.0,42.0,42,72295.0,71746.0
133,133,21.465390824965542,84348,84348,0.859003751894515,84367,2.5277011620154943,7.0,41.0,42,71746.0,70132.0
134,134,21.402879963818737,82473,82473,0.8736522860182868,82450,2.53904777412531,6.0,39.0,41,70132.0,67037.0
135,135,21.91471676911891,78721,78721,0.9466735983251662,78752,2.615386921859004,5.0,39.0,39,67037.0,65932.0
136,136,17.69905156184477,77657,77657,0.7598176736059574,77644,2.4261778418739213,4.0,39.0,39,65932.0,66278.0
137,137,18.517822200384455,77986,77986,0.8059245646295601,77984,2.4779615288291543,2.0,40.0,39,66278.0,67971.0
138,138,18.722898013965104,79976,79976,0.7887117393296174,79977,2.4555471191355998,2.0,42.0,40,67971.0,71242.0
139,139,18.814175445489443,83841,83841,0.7576078108771647,83845,2.4237915774657366,1.0,43.0,42,71242.0,73647.0
140,140,22.79752528365637,86567,86567,0.8974336338970984,86568,2.5654846798541366,7.0,42.0,43,73647.0,71172.0
141,141,18.399447454931504,83789,83789,0.7385584104940802,83787,2.4047531592871296,5.0,38.0,42,71172.0,63802.0
142,142,15.497067545304777,75195,75195,0.6797498875633698,75202,2.347673892487109,0.0,35.0,38,63802.0,59059.0
