,periodIndex,arrivalEvent,requestStartWaiting,requestType,requestWaitingTime,totalInQueue,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
106,106,77788,77788,0.6661438782331465,0.7952495418666983,17.735846145935106,77829,2.462788494487431,5.0,40.0,39,66114.0,67691.0
107,107,79725,79725,0.6662402006898714,0.7362455049538248,16.849808717466292,79700,2.4021813676343995,3.0,39.0,40,67691.0,65558.0
108,108,77252,77252,0.6670377465955574,0.6736092675666767,14.9748614922591,77258,2.3408277089010308,0.0,38.0,39,65558.0,65532.0
109,109,76993,76993,0.6662943384463522,1.0009322682629929,22.020014806540853,76974,2.667696985888941,14.0,37.0,38,65532.0,63948.0
110,110,75030,75030,0.6697720911635345,1.0422665646269436,22.28915100626416,75054,2.711506879733903,2.0,37.0,37,63948.0,63664.0
111,111,74801,74801,0.6656328123955562,0.9646795340103153,20.6271707597492,74794,2.6307649896163525,10.0,36.0,37,63664.0,60795.0
112,112,71587,71587,0.6638635506446702,0.7304421632210872,15.052802883205052,71601,2.395319805557887,2.0,37.0,36,60795.0,62133.0
113,113,73250,73250,0.6686962457337884,0.6629955979941442,14.00061433447099,73233,2.3310913014315906,0.0,37.0,37,62133.0,62565.0
114,114,73664,73664,0.6663363379669852,0.7578913595662347,16.057164965247612,73677,2.424382611568168,4.0,38.0,37,62565.0,65019.0
115,115,76439,76439,0.6638626878949228,0.8649906897681989,18.91025523620141,76428,2.528529440627921,3.0,40.0,38,65019.0,67702.0
116,116,79709,79709,0.6659097467036345,0.722378579219621,16.520882209035367,79714,2.388331718515235,4.0,39.0,40,67702.0,65895.0
117,117,77585,77585,0.6680930592253658,0.7646331827948231,17.05012566862151,77595,2.4331127578509526,0.0,35.0,39,65895.0,58903.0
118,118,69403,69403,0.667737705862859,0.7214997962135796,14.4437416250018,69403,2.3899684476598173,0.0,32.0,35,58903.0,54661.0
119,119,64300,64300,0.6676982892690513,0.8892204717929434,16.476267496111976,64270,2.5565742637798947,3.0,26.0,32,54661.0,43560.0
120,120,51329,51329,0.6622766856942469,0.673850524133867,10.09051413431004,51360,2.336178583301032,0.0,22.0,26,43560.0,36926.0
121,121,43514,43514,0.670267040492715,0.79472989266844,10.13572643287218,43529,2.464916663421328,1.0,19.0,22,36926.0,30278.0
122,122,35981,35981,0.6701314582696423,0.4250100790079061,4.684388983074401,35978,2.0942065161516785,0.0,19.0,19,30278.0,31132.0
123,123,36834,36834,0.6694629961448662,0.5927835103449943,6.55027963294782,36832,2.261866745429115,0.0,20.0,19,31132.0,32373.0
124,124,38367,38367,0.6695597779341622,0.5070397413939199,5.887116532436729,38373,2.178186021336829,0.0,23.0,20,32373.0,38000.0
125,125,44902,44902,0.6661841343370006,0.6130744386761897,8.150995501313973,44900,2.2786559285714607,0.0,30.0,23,38000.0,51272.0
126,126,60292,60292,0.6666721953161282,0.9290072102122842,16.12562197306442,60278,2.59737324650797,2.0,35.0,30,51272.0,60053.0
127,127,70577,70577,0.6647491392379954,0.8980909023726911,18.17389517831588,70571,2.562546095559766,6.0,39.0,35,60053.0,65424.0
128,128,77137,77137,0.6637800277428472,0.6236555738831282,13.872797749458757,77127,2.287072445811775,1.0,41.0,39,65424.0,69195.0
129,129,81497,81497,0.666171760923715,0.7196902378527912,16.83783452151613,81498,2.3854671934126066,1.0,42.0,41,69195.0,71565.0
130,130,84167,84167,0.6708329868000523,0.838744239001931,20.16601518409828,84168,2.508789951169168,1.0,44.0,42,71565.0,74334.0
131,131,87555,87555,0.666815144766147,0.7171663287362545,17.967997258865857,87555,2.3835863699824924,7.0,42.0,44,74334.0,72295.0
132,132,84921,84921,0.668562546366623,0.9332602546313592,22.573956971773764,84898,2.601355264111336,1.0,42.0,42,72295.0,71378.0
133,133,83991,83991,0.6661785191270493,0.7781701006111822,18.676001000107156,84008,2.444353601366495,10.0,41.0,42,71378.0,69329.0
134,134,81622,81622,0.6657028742250863,0.7373104969443137,17.264744799196293,81635,2.4035923126690437,2.0,40.0,41,69329.0,67418.0
135,135,79434,79434,0.6697258101065036,0.704090011140732,16.04063751038598,79424,2.372668677252872,2.0,40.0,40,67418.0,66934.0
136,136,78935,78935,0.6643947551783113,0.6282420039943271,14.28731234560081,78934,2.2926371117067346,0.0,40.0,40,66934.0,67002.0
137,137,79009,79009,0.6669366780999633,0.6589184375336,14.97840752319356,79008,2.326295674818259,2.0,40.0,40,67002.0,67562.0
138,138,79564,79564,0.6682670554522145,0.7406641745174172,16.938829118696898,79574,2.4085905310629294,4.0,42.0,40,67562.0,71623.0
139,139,84243,84243,0.6641620075258479,0.7814050876627988,18.82235912776136,84229,2.443957834926047,2.0,44.0,42,71623.0,73844.0
140,140,87036,87036,0.668482007445195,0.6569948415085783,16.392021692173355,87044,2.3253701803757725,0.0,42.0,44,73844.0,71886.0
141,141,84516,84516,0.6634246769842397,0.8920398937053494,21.527971035070284,84501,2.556600281322499,5.0,38.0,42,71886.0,63006.0
142,142,74378,74378,0.6648605770523542,0.5877556348500818,12.6649815805749,74406,2.2528173131483964,0.0,36.0,38,63006.0,59868.0
143,143,70679,70679,0.6652754000481048,0.5945539719186025,12.223913750901966,70674,2.2591114494047466,2.0,26.0,36,59868.0,42297.0
144,144,50088,50088,0.664011340041527,0.473200343999024,7.0384922536336045,50097,2.13731546130056,0.0,22.0,26,42297.0,35659.0
145,145,42251,42251,0.6651203521810135,0.4981102820509425,6.310761875458569,42259,2.163895352749814,0.0,19.0,22,35659.0,31920.0
146,146,37629,37629,0.6678359775704908,0.7663897675404542,8.540460814797099,37635,2.435047683268319,5.0,19.0,19,31920.0,31275.0
147,147,36972,36972,0.6663691442172455,0.6381696231724726,7.060721627177323,36975,2.3037166940527567,0.0,20.0,19,31275.0,33847.0
148,148,39866,39866,0.6696182210404856,0.892891089158232,10.44348567701801,39856,2.5616140158372493,3.0,24.0,20,33847.0,38999.0
149,149,46204,46204,0.6677343952904511,0.4902499810128874,6.751276945718986,46199,2.1579854111515626,0.0,31.0,24,38999.0,52214.0
150,150,61545,61545,0.666829149402876,0.7541438423271323,13.454561702819076,61523,2.42137867391271,3.0,35.0,31,52214.0,58793.0
